channel,hi,latency_s,lo,method,psnr_full
clean,28.518983456160697,0.15861111111111112,26.48221573233974,B0d,27.4750029517323
clean,28.518983456160697,0.15861111111111112,26.48221573233974,B3,27.4750029517323
clean,28.518983456160697,0.15861111111111112,26.48221573233974,B4,27.4750029517323
clean,26.282495546810786,0.15861111111111112,24.164957950690674,P,25.208143272704532
mild,28.518983456160697,0.15861111111111112,26.48221573233974,B0d,27.4750029517323
mild,28.518983456160697,0.15861111111111112,26.48221573233974,B3,27.4750029517323
mild,28.518983456160697,0.15861111111111112,26.48221573233974,B4,27.4750029517323
mild,26.282495546810786,0.15861111111111112,24.164957950690674,P,25.208143272704532
moderate,26.02734221556766,0.15861111111111112,24.144445926863128,B0d,25.077789587863556
moderate,25.095398078081708,0.15861111111111112,22.4934117723293,B3,23.78711221533465
moderate,25.519467138127983,0.15861111111111112,23.883822697455567,B4,24.702951981146054
moderate,25.95029310262891,0.15861111111111112,23.914393525945655,P,24.914963432428866
bursty,22.452305001636724,0.15861111111111112,20.800762562951018,B0d,21.704750538620715
bursty,22.90857861918744,0.15861111111111112,19.324171631582516,B3,21.198378727771523
bursty,22.444174258406598,0.15861111111111112,20.79165990438435,B4,21.688070527283337
bursty,24.50603812018067,0.15861111111111112,22.593084775781055,P,23.546518792041514
harsh,13.774457687638295,0.15861111111111112,11.321794454118429,B0d,12.506089966640229
harsh,13.774457687638295,0.15861111111111112,11.321794454118429,B3,12.506089966640229
harsh,13.774457687638295,0.15861111111111112,11.321794454118429,B4,12.506089966640229
harsh,13.774457687638295,0.15861111111111112,11.321794454118429,P,12.506089966640229
