authenticated_bits_per_s,method,noise_sigma
0.0,B0a-R,0.0
0.0,B0a-R,2.0
0.0,B0a-R,4.0
0.0,B0a-R,6.0
0.0,B0a-R,8.0
0.0,B0a-R,12.0
0.0,B0a-R,16.0
0.0,B0a-R,24.0
69981.48148148149,B4,0.0
69981.48148148149,B4,2.0
69981.48148148149,B4,4.0
69981.48148148149,B4,6.0
69981.48148148149,B4,8.0
69981.48148148149,B4,12.0
69981.48148148149,B4,16.0
69981.48148148149,B4,24.0
86466.66666666667,P,0.0
86466.66666666667,P,2.0
86466.66666666667,P,4.0
86466.66666666667,P,6.0
86466.66666666667,P,8.0
86466.66666666667,P,12.0
86466.66666666667,P,16.0
86466.66666666667,P,24.0
